good_pt_anestetic;Полностью снимает боль. Дает полную сопротивляемость боли на некоторое время.;Elimina a dor. Dá resistência total à dor durante algum tempo.;消除疼痛，令角色在一段时间内可以完全抵抗疼痛。;Löst den Schmerz auf. Verleiht einige Zeit vollen Widerstand gegen Schmerz.;;;;;Resetuje Ból, daje pełną odporność na Ból na pewien czas.
good_pt_curiosity;Делает восприимчивым.;Deixa você receptivo.;令你好奇。;Macht dich empfänglicher.;;;;;Czyni cię Podatnym.
bad_pt_oblivious;//;//;//;//;;;;;//
good_pt_advancing;//;//;//;//;;;;;//
good_pt_lifesteal;Позволяет похищать жизнь у врагов.;Permite drenar a saúde com seus ataques físicos.;你的物理攻击可以吸取生命。;Erlaubt dir, mit deinen phys. Angriffen, Leben zu entziehen..;;;;;Pozwala na Wykradanie Zdrowia atakami fizycznymi.
bad_pt_manaburn;Сжигает энергию.;Queima a Energia.;损耗精力。;Verbrennt Energie.;;;;;Wypala Energię.
good_pt_mana;Восстанавливает энергию.;Restaura a Energia.;恢复精力。;Stellt Energie wieder her.;;;;;Odnawia Energię.
bad_pt_painfull;Причиняет боль.;Causa dor.;导致疼痛。;Verursacht Schmerz.;;;;;Powoduje Ból.
good_pt_painkilling;Облегчает боль.;Diminui a Dor.;缓解疼痛。;Verringert Schmerz.;;;;;Zmniejsza Ból.
bad_pt_sedative;Погружает в сон.;Faz você Dormir.;令你入睡。;Versetzt dich in Schlaf.;;;;;Kładzie cię spać.
good_pt_antivenom;Снимает отравление. Снижает уровень интоксикации.;Remove envenenamento. Diminui a intoxicação.;解除中毒状态，缓解迷醉状态。;Entfernt Vergiftung. Verringert Intoxikation.;;;;;Usuwa Truciznę, Zmniejsza Zatrucie.
good_pt_stoneskin;Превращает кожу в камень.;Transforma sua pele em pedra.;令你的皮肤变成石头。;Verwandelt deine Haut in Stein.;;;;;Zamienia twoją skórę w kamień.
good_pt_satitution;Утоляет голод и жажду.;Satisfaz a fome e a sede.;缓解饥饿和口渴。;Stillt Hunger und Durst.;;;;;Zaspokaja Głód i Pragnienie.
bad_pt_hunger;Вызывает голод или жажду.;Causa fome ou sede.;导致饥饿和口渴。;Verursacht Hunger oder Durst.;;;;;Powoduje Głód lub Pragnienie.
bad_pt_ignition;Воспламеняет.;inflamável.;导致着火。;Entzündet.;;;;;Podpala.
bad_pt_freezing;Замораживает.;causa Congelamento.;导致冻僵。;Friert ein.;;;;;Zamraża.
bad_pt_confuse;Вызывает замешательство.;causa Confusão.;导致迷惑。;Verursacht Verwirrtheit.;;;;;Powoduje dezorientację.
bad_pt_blinding;Ослепляет.;céga você.;致盲。;Blendet.;;;;;Oślepia.
good_pt_regeneration;Ускоряет регенерацию.;Melhora a restauração de vida;提升你生命的自动恢复;Verbessert deine Gesundsheitsregeneration;;;;;Zwiększa Regenerację Zdrowia.
good_pt_evasive;Делает неуловимым.;Deixa você Evasivo.;令你身手敏捷。;Macht dich schwer zu fassen.;;;;;Czyni cię Nieuchwytnym.
good_pt_accuracy;Делает потрясающе точным.;Torna você excepcionalmente Preciso.;大幅提高你的准度。;Macht dich außergewöhnlich genau.;;;;;Czyni cię niezwykle Celnym.
good_pt_fortifying;Укрепляет.;Impulsiona a sua vida.;强健体魄。;Steigert deine Gesundheit.;;;;;Poprawia twoje Zdrowie.
good_pt_rage;Вызывает ярость.;Enfurece.;激怒。;Macht wütend.;;;;;Powoduje Wściekłość.
good_pt_deadless;Делает смертоносным.;Deixa você mortífero.;你可以置敌于死地。;Macht dich Tödlich.;;;;;Czyni cię Zabójczym.
bad_pt_drunk;Опьяняет.;Deixa você Bêbado.;令你醉酒。;Macht dich Betrunken.;;;;;Czyni cię Pijanym.
bad_pt_clymsy;Делает неуклюжим.;Deixa você atrapalhado.;令你行动笨拙。;Macht dich Ungeschickt.;;;;;Czyni cię Niezdarnym.
bad_pt_fragility;Делает хрупким.;Deixa você frágil.;令你脆弱。;Macht dich Gebrechlich.;;;;;Czyni cię Podatnym.
bad_pt_weakening;Ослабляет.;Enfraquece.;令你虚弱。;Schwächt.;;;;;Osłabia.
good_pt_enrichment;//;//;//;//;;;;;//
good_pt_mana_drain;Позволяет похищать энергию у врагов.;Permite drenar energia com seus ataques físicos.;你的物理攻击可以吸取精力。;Erlaubt dir, mit deinen phys. Angriffen, Energie zu entziehen..;;;;;Pozwala na wykradanie Energii atakami fizycznymi.
bad_pt_intoxication;Увеличивает интоксикацию.;Aumenta a intoxicação.;加重迷醉状态。;Erhöht Intoxikation.;;;;;Zwiększa Zatrucie.
;potion_desc_end;potion_desc_end;potion_desc_end;potion_desc_end;potion_desc_end;potion_desc_end;potion_desc_end;potion_desc_end;potion_desc_end
